=== MATRIKS TF-IDF (KATA vs DOKUMEN) ===
Kolom: Dokumen (Pref = Preferensi User, P = Paket Wisata)
Baris: Kata (Term) yang diekstrak setelah preprocessing
Nilai: Bobot TF-IDF
=====================================================================================

                                Pref(Anda)  P1_Kawah  P3_Tabuhan  P7_Baluran  P9_Kawah  P12_Djawatan
12                                  0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
12 pakai                            0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
abadi                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
abadi indah                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
afrika                              0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
afrika van                          0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
air                                 0.0000    0.0000      0.0000      0.0831    0.0329        0.0295
air mineral                         0.0000    0.0000      0.0000      0.0831    0.0329        0.0295
ajak                                0.0000    0.0000      0.1279      0.0000    0.0000        0.0745
ajak destinasi                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
ajak renang                         0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
alam                                0.0000    0.0000      0.0000      0.0000    0.1107        0.1135
alam indah                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
alam istimewa                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
alam jalan                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
alam pukau                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
alam sempat                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
api                                 0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
api biru                            0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
avanza                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
avanza xenia                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
bak                                 0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
bak negeri                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
bama                                0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
bama savana                         0.0000    0.0000      0.0000      0.2100    0.0000        0.0000
banyuwangi                          0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
banyuwangi paket                    0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
batas                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
batas perlahan                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
bbm                                 0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
bbm perahu                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
bedil                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
bedil wedi                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
belerang                            0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
belerang api                        0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
bentang                             0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
bentang batas                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
biru                                0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
biru sunrise                        0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
budgetbracket250k                   0.2885    0.1133      0.0000      0.0000    0.0000        0.0000
budgetbracket250k durasi1day        0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
budgetbracket300k                   0.2328    0.0000      0.0609      0.1001    0.0000        0.0000
budgetbracket300k durasi1day        0.2885    0.0000      0.0755      0.0000    0.0000        0.0000
budgetbracket300k durasi7jam        0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
budgetbracket450k                   0.0000    0.0000      0.0000      0.0000    0.0397        0.0355
budgetbracket450k durasi1day        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
budgetbracket450k transportasi      0.0000    0.0000      0.0000      0.0000    0.0492        0.0000
bukit                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
bukit cipta                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cahaya                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cahaya sunrise                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cakrawala                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
cakrawala kombinasi                 0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
cantik                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cantik sudut                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cinta                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cinta alam                          0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cipta                               0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
cipta gradasi                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
cipta suasana                       0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
deret                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
deret pohon                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
destinasi                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
destinasi wisata                    0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
djawatan                            0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
djawatan rindang                    0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
dokumentasi                         0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
dokumentasi underwater              0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
driver                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
driver bbm                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
durasi1day                          0.1932    0.0759      0.0506      0.0000    0.0000        0.0295
durasi1day guide                    0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
durasi1day kapal                    0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
durasi1day tiket                    0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
durasi7jam                          0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
durasi7jam transportasi             0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
ekonomis                            0.0000    0.0540      0.0360      0.0591    0.0234        0.0210
ekonomis budgetbracket250k          0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
ekonomis budgetbracket300k          0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
ekonomis nature                     0.0000    0.0000      0.0000      0.0831    0.0329        0.0295
eksotis                             0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
eksotis pandang                     0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
eksotis pesona                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
eksotisme                           0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
eksotisme pulau                     0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
emas                                0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
emas cakrawala                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
fantasi                             0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
fantasi lanjut                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
foto                                0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
foto instagramable                  0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
gabung                              0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
gabung serta                        0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
gass                                0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
gass kawah                          0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
giat                                0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
giat snorkeling                     0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
gradasi                             0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
gradasi warna                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
green                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
green island                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
guide                               0.1625    0.0000      0.0426      0.0699    0.0277        0.0248
guide instruktur                    0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
guide mobil                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
guide sambut                        0.0000    0.0000      0.0000      0.0000    0.0492        0.0000
guide savana                        0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
gunung                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
gunung sejuk                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
hadir                               0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
hadir semburat                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
hadir suasana                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
hampar                              0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
hampar padang                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
hampar pasir                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
hiace                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
hiace driver                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
hijau                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
hijau luas                          0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
hutan                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
hutan magis                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
ijen                                0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
ijen kawah                          0.0000    0.1918      0.0000      0.0000    0.0000        0.0000
indah                               0.0000    0.0000      0.1062      0.0000    0.0691        0.0823
indah hutan                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
indah lanskap                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
indah laut                          0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
indah pantai                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
innova                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
innova 12                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
instagramable                       0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
instagramable jadi                  0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
instruktur                          0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
instruktur konsumsi                 0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
ireng                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
ireng tiket                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
island                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
island eksotis                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
istimewa                            0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
istimewa cinta                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
izin                                0.0000    0.0000      0.0856      0.0831    0.0329        0.0000
izin giat                           0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
izin tiket                          0.0000    0.0000      0.0506      0.0831    0.0329        0.0000
jadi                                0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
jadi alam                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
jaket                               0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
jaket pelampung                     0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
jalan                               0.0000    0.0000      0.0000      0.0000    0.0000        0.1229
jalan lengkap                       0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
